YMD_ID,HH_ID,GETON_CNT
20211110,14,452
20211110,15,627
20211110,16,771
20211110,17,949
20211110,18,1126
20211110,19,611
20211110,20,518
20211110,21,502
20211110,22,409
20211110,23,329
20211111,0,85
20211111,5,62
20211111,6,485
20211111,7,1091
20211111,8,939
20211111,9,520
20211111,10,391
20211111,11,431
20211111,12,426
20211111,13,420
20211111,14,534
20211111,15,702
20211111,16,746
20211111,17,970
20211111,18,1096
20211111,19,660
20211111,20,552
20211111,21,543
20211111,22,494
20211111,23,322
20211112,0,85
20211112,5,59
20211112,6,452
20211112,7,1005
20211112,8,929
20211112,9,593
20211112,10,379
20211112,11,495
20211112,12,518
20211112,13,444
20211112,14,629
20211112,15,838
20211112,16,915
20211112,17,1215
20211112,18,1290
20211112,19,793
20211112,20,561
20211112,21,501
20211112,22,443
20211112,23,343
20211113,0,110
20211113,5,46
20211113,6,222
20211113,7,298
20211113,8,430
20211113,9,448
20211113,10,445
20211113,11,443
20211113,12,451
20211113,13,478
20211113,14,509
20211113,15,498
20211113,16,550
20211113,17,466
20211113,18,468
20211113,19,400
20211113,20,341
20211113,21,358
20211113,22,325
20211113,23,255
20211114,0,77
20211114,5,31
20211114,6,70
20211114,7,133
20211114,8,239
20211114,9,247
20211114,10,276
20211114,11,321
20211114,12,290
20211114,13,324
20211114,14,450
20211114,15,397
20211114,16,470
20211114,17,483
20211114,18,441
20211114,19,473
20211114,20,471
20211114,21,369
20211114,22,262
20211114,23,231
20211115,0,49
20211115,5,64
20211115,6,568
20211115,7,1142
20211115,8,1000
20211115,9,626
20211115,10,390
20211115,11,440
20211115,12,446
20211115,13,466
20211115,14,525
20211115,15,636
20211115,16,685
20211115,17,912
20211115,18,1119
20211115,19,583
20211115,20,463
20211115,21,445
20211115,22,418
20211115,23,308
20211116,0,59
20211116,5,69
20211116,6,516
20211116,7,1104
20211116,8,981
20211116,9,577
20211116,10,372
20211116,11,452
20211116,12,461
20211116,13,477
20211116,14,536
20211116,15,717
20211116,16,767
20211116,17,921
20211116,18,1089
20211116,19,606
20211116,20,471
20211116,21,499
20211116,22,459
20211116,23,291
20211117,0,79
20211117,5,69
20211117,6,487
20211117,7,1118
20211117,8,949
20211117,9,657
20211117,10,468
20211117,11,447
20211117,12,495
20211117,13,520
20211117,14,534
20211117,15,713
20211117,16,788
20211117,17,1058
20211117,18,1137
20211117,19,617
20211117,20,596
20211117,21,470
20211117,22,461
20211117,23,354
20211118,0,96
20211118,5,62
20211118,6,391
20211118,7,923
20211118,8,940
20211118,9,920
20211118,10,452
20211118,11,482
20211118,12,473
20211118,13,432
20211118,14,590
20211118,15,744
20211118,16,778
20211118,17,1016
20211118,18,1247
20211118,19,637
20211118,20,586
20211118,21,496
20211118,22,491
20211118,23,369
20211119,0,91
20211119,1,0
20211119,5,65
20211119,6,438
20211119,7,1079
20211119,8,914
20211119,9,604
20211119,10,459
20211119,11,444
20211119,12,512
20211119,13,551
20211119,14,716
20211119,15,927
20211119,16,946
20211119,17,1245
20211119,18,1348
20211119,19,846
20211119,20,618
20211119,21,549
20211119,22,504
20211119,23,368
20211120,0,106
20211120,1,0
20211120,5,47
20211120,6,201
20211120,7,311
20211120,8,412
20211120,9,426
20211120,10,481
20211120,11,496
20211120,12,476
20211120,13,451
20211120,14,542
20211120,15,518
20211120,16,572
20211120,17,573
20211120,18,454
20211120,19,440
20211120,20,348
20211120,21,377
20211120,22,335
20211120,23,301
20211121,0,61
20211121,5,26
20211121,6,85
20211121,7,158
20211121,8,219
20211121,9,276
20211121,10,307
20211121,11,343
20211121,12,352
20211121,13,333
20211121,14,484
20211121,15,488
20211121,16,545
20211121,17,442
20211121,18,481
20211121,19,430
20211121,20,496
20211121,21,323
20211121,22,314
20211121,23,240
20211122,0,60
20211122,5,77
20211122,6,546
20211122,7,1152
20211122,8,990
20211122,9,576
20211122,10,406
20211122,11,402
20211122,12,442
20211122,13,444
20211122,14,480
20211122,15,656
20211122,16,639
20211122,17,894
20211122,18,1034
20211122,19,566
20211122,20,477
20211122,21,448
20211122,22,439
20211122,23,292
20211123,0,81
20211123,5,63
20211123,6,448
20211123,7,1135
20211123,8,1030
20211123,9,571
20211123,10,367
20211123,11,421
20211123,12,428
20211123,13,508
20211123,14,461
20211123,15,670
20211123,16,740
20211123,17,893
20211123,18,1087
20211123,19,569
20211123,20,470
20211123,21,482
20211123,22,489
20211123,23,295
20211124,0,0
20211125,0,73
20211125,1,0
20211125,5,66
20211125,6,472
20211125,7,1144
20211125,8,980
20211125,9,611
20211125,10,471
20211125,11,482
20211125,12,447
20211125,13,511
20211125,14,538
20211125,15,656
20211125,16,855
20211125,17,1004
20211125,18,1135
20211125,19,648
20211125,20,623
20211125,21,506
